Name1,Manufacturer,Model,Model_Year,Transmission,KM_Done,Price,Time,Rating
Ford Fusion 2016,Ford ,Fusion ,2016.0,Automatic,17110.0,48999," Apr 07, 2021",10
Ford Fusion 2016,Ford ,Fusion ,2016.0,Automatic,14505.0,44999," Apr 07, 2021",10
Ford Focus 2013,Ford ,Focus ,2013.0,Automatic,48854.0,20000," Apr 07, 2021",10
Ford Focus 2016,Ford ,Focus ,2016.0,Automatic,27202.0,44999," Apr 07, 2021",10
Toyota Camry 2015,Toyota ,Camry ,2015.0,Automatic,50287.0,51450," Apr 07, 2021",10
Ford Ranger 2011,Ford ,Ranger ,2011.0,Manual,8184.0,24999," Apr 07, 2021",10
Ford Ranger 2011,Ford ,Ranger ,2011.0,Manual,90033.0,22999," Apr 07, 2021",10
Ford Focus 2017,Ford ,Focus ,2017.0,Automatic,1739.0,42000," Apr 07, 2021",10
Ford Fusion 2015,Ford ,Fusion ,2015.0,Automatic,22603.0,45000," Apr 07, 2021",10
Ford Focus 2016,Ford ,Focus ,2016.0,Automatic,2218.0,37800," Apr 07, 2021",10
Ford Taurus 2015,Ford ,Taurus ,2015.0,Automatic,29900.0,56000," Apr 07, 2021",10
Ford Fusion 2015,Ford ,Fusion ,2015.0,Automatic,10666.0,52500," Apr 07, 2021",10
Ford Focus 2016,Ford ,Focus ,2016.0,Automatic,28000.0,37800," Apr 07, 2021",10
Toyota Land Cruiser Prado  4.0L V6 VX1 2004,Toyota ,Land ,2004.0,Automatic,511000.0,34000," Apr 06, 2021",10
Toyota Yaris 2011,Toyota ,Yaris ,2011.0,Automatic,123250.0,15000," Apr 05, 2021",10
Toyota Hilux  2.0 Double Cab 4x2 M/T 2009,Toyota ,Hilux ,2009.0,Manual,330000.0,30000," Apr 05, 2021",10
Toyota Corolla 1.6 SE 2014,Toyota ,Corolla ,2014.0,Automatic,99000.0,38000," Apr 05, 2021",10
Toyota Corolla  1.6L Smart 2005,Toyota ,Corolla ,2005.0,CVT,355000.0,10500," Apr 03, 2021",10
Ford Fusion  2.5L SE (Cloth) 2015,Ford ,Fusion ,2015.0,Automatic,110000.0,36000," Mar 31, 2021",10
Ford EcoSport  1.0T Titanium 2017,Ford ,EcoSport ,2017.0,Automatic,100800.0,35000," Mar 31, 2021",10
Hyundai Accent  1.4L GL Hatch 2010,Hyundai ,Accent ,2010.0,Automatic,167000.0,17000," Mar 29, 2021",10
Toyota Camry 2016,Toyota ,Camry ,2016.0,Automatic,53500.0,50000," Mar 26, 2021",10
Toyota Yaris Sedan  1.5L Y (CVT) 2018,Toyota ,Yaris ,2018.0,Automatic,35000.0,38000," Mar 25, 2021",10
Toyota Yaris 2015,Toyota ,Yaris ,2015.0,Automatic,90900.0,22500," Mar 25, 2021",10
Ford Explorer  XLT 2008,Ford ,Explorer ,2008.0,Automatic,153000.0,24000," Mar 24, 2021",10
Ford Explorer  XLT 2008,Ford ,Explorer ,2008.0,Automatic,153000.0,23996," Mar 24, 2021",10
Toyota Fortuner 2015,Toyota ,Fortuner ,2015.0,Automatic,985000.0,75000," Mar 23, 2021",10
Ford Figo 2016,Ford ,Figo ,2016.0,Automatic,51553.0,20999," Mar 23, 2021",10
Ford Focus 2012,Ford ,Focus ,2012.0,Automatic,125041.0,16999," Mar 23, 2021",10
Ford Figo 2016,Ford ,Figo ,2016.0,Automatic,61105.0,20999," Mar 23, 2021",10
Ford Figo 2016,Ford ,Figo ,2016.0,Automatic,33643.0,20999," Mar 23, 2021",10
Ford Figo 2016,Ford ,Figo ,2016.0,Automatic,23172.0,20999," Mar 23, 2021",10
Ford Escape 2015,Ford ,Escape ,2015.0,Automatic,66323.0,44999," Mar 23, 2021",10
Ford Figo 2016,Ford ,Figo ,2016.0,Automatic,31038.0,20999," Mar 23, 2021",10
Ford Figo 2016,Ford ,Figo ,2016.0,Automatic,20190.0,20999," Mar 23, 2021",10
Ford Figo 2016,Ford ,Figo ,2016.0,Automatic,26993.0,20999," Mar 23, 2021",10
Ford Figo 2016,Ford ,Figo ,2016.0,Automatic,20221.0,20999," Mar 23, 2021",10
Ford Focus 2014,Ford ,Focus ,2014.0,Automatic,93700.0,24999," Mar 23, 2021",10
Ford EcoSport 2014,Ford ,EcoSport ,2014.0,Automatic,186000.0,23000," Mar 23, 2021",10
Ford Ranger 2016,Ford ,Ranger ,2016.0,Manual,43961.0,54999," Mar 23, 2021",10
Toyota Corolla 2016,Toyota ,Corolla ,2016.0,Automatic,43814.0,49999," Mar 23, 2021",10
Toyota Corolla 2016,Toyota ,Corolla ,2016.0,Automatic,18652.0,50000," Mar 23, 2021",10
Ford Fusion 2014,Ford ,Fusion ,2014.0,Automatic,95395.0,33000," Mar 23, 2021",10
Toyota Camry 2015,Toyota ,Camry ,2015.0,Automatic,39706.0,52500," Mar 23, 2021",10
Toyota Camry 2015,Toyota ,Camry ,2015.0,Automatic,42249.0,52500," Mar 23, 2021",10
Toyota Camry 2015,Toyota ,Camry ,2015.0,Automatic,49210.0,51999," Mar 23, 2021",10
Ford Edge 2013,Ford ,Edge ,2013.0,Automatic,18815.0,51729," Mar 23, 2021",10
Ford Fusion 2016,Ford ,Fusion ,2016.0,Automatic,17110.0,48999," Mar 23, 2021",10
Ford Fusion 2016,Ford ,Fusion ,2016.0,Automatic,14505.0,44999," Mar 23, 2021",10
Ford Focus 2013,Ford ,Focus ,2013.0,Automatic,48854.0,20000," Mar 23, 2021",10
Ford Focus 2016,Ford ,Focus ,2016.0,Automatic,27202.0,44999," Mar 23, 2021",10
Toyota Camry 2015,Toyota ,Camry ,2015.0,Automatic,50287.0,51450," Mar 23, 2021",10
Ford Ranger 2011,Ford ,Ranger ,2011.0,Manual,8184.0,24999," Mar 23, 2021",10
Ford Ranger 2011,Ford ,Ranger ,2011.0,Manual,90033.0,22999," Mar 23, 2021",10
Ford Focus 2017,Ford ,Focus ,2017.0,Automatic,1739.0,42000," Mar 23, 2021",10
Ford Fusion 2015,Ford ,Fusion ,2015.0,Automatic,22603.0,45000," Mar 23, 2021",10
Ford Focus 2016,Ford ,Focus ,2016.0,Automatic,2218.0,37800," Mar 23, 2021",10
Ford Taurus 2015,Ford ,Taurus ,2015.0,Automatic,29900.0,56000," Mar 23, 2021",10
Ford Fusion 2015,Ford ,Fusion ,2015.0,Automatic,10666.0,52500," Mar 23, 2021",10
Ford Focus 2016,Ford ,Focus ,2016.0,Automatic,28000.0,37800," Mar 23, 2021",10
Hyundai Accent  1.6L GLS 2016,Hyundai ,Accent ,2016.0,Automatic,205000.0,23000," Mar 23, 2021",10
Toyota Corolla  1.6L Smart 2011,Toyota ,Corolla ,2011.0,CVT,130000.0,17000," Mar 22, 2021",10
Toyota Hilux  2.0 Double Cab 4x2 M/T 2010,Toyota ,Hilux ,2010.0,Manual,390000.0,39000," Mar 21, 2021",10
Toyota Yaris  1.5L SE 2009,Toyota ,Yaris ,2009.0,Automatic,2090.0,1250," Mar 19, 2021",10
